07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/VerticalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'Vanilla/VerticalScrollbar' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/HorizontalScrollbarThumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'Vanilla/HorizontalScrollbarThumb' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/HorizontalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'Vanilla/HorizontalScrollbar' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/StaticImage' using base type 'DefaultWindow', window renderer 'Falagard/StaticImage' Look'N'Feel 'Vanilla/StaticImage' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/StaticText' using base type 'DefaultWindow', window renderer 'Falagard/StaticText' Look'N'Feel 'Vanilla/StaticText' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/Listbox' using base type 'CEGUI/Listbox', window renderer 'Falagard/Listbox' Look'N'Feel 'Vanilla/Listbox' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/MultiLineEditbox' using base type 'CEGUI/MultiLineEditbox', window renderer 'Falagard/MultiLineEditbox' Look'N'Feel 'Vanilla/MultiLineEditbox' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/ComboDropList' using base type 'CEGUI/ComboDropList', window renderer 'Falagard/Listbox' Look'N'Feel 'Vanilla/ComboDropList' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/Combobox' using base type 'CEGUI/Combobox', window renderer 'Falagard/Default' Look'N'Feel 'Vanilla/Combobox' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'Vanilla/ProgressBar' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'Vanilla/ProgressBar' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Started creation of Scheme from XML specification:
07/08/2011 22:33:13 (Std) 	---- CEGUI GUIScheme name: TaharezLook
07/08/2011 22:33:13 (Std) 	Started creation of Imageset from XML specification:
07/08/2011 22:33:13 (Std) 	---- CEGUI Imageset name: TaharezLook
07/08/2011 22:33:13 (Std) 	---- Source texture file: TaharezLook.tga in resource group: (Default)
07/08/2011 22:33:13 (Std) 	Started creation of Font from XML specification:
07/08/2011 22:33:13 (Std) 	---- CEGUI font name: DejaVuSans-10
07/08/2011 22:33:13 (Std) 	----       Font type: FreeType
07/08/2011 22:33:13 (Std) 	----     Source file: DejaVuSans.ttf in resource group: (Default)
07/08/2011 22:33:13 (Std) 	---- Real point size: 10
07/08/2011 22:33:13 (Std) 	===== Falagard 'root' element: look and feel parsing begins =====
07/08/2011 22:33:13 (Std) 	===== Look and feel parsing completed =====
07/08/2011 22:33:13 (Std) 	No window renderer factories specified for module 'CEGUIFalagardWRBase' - adding all available factories...
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'TaharezLook/Button' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/Button' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'TaharezLook/Checkbox' using base type 'CEGUI/Checkbox', window renderer 'Falagard/ToggleButton' Look'N'Feel 'TaharezLook/Checkbox' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'TaharezLook/ImageButton' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/ImageButton' and RenderEffect ''. (0027D4C8)
07/08/2011 22:33:13 (Std) 	Creating falagard mapping for type 'TaharezLook/RadioButton' using base type 'CEGUI/RadioButton', window renderer 'Falagard/ToggleButton' Look'N'Feel 'TaharezLook/RadioButton' and RenderEffect ''. (0027D4C8)
